fold,seed,model,Acc,DI,EOD,AOD
0,60,DL,0.72,2.9379310344827583,0.19999999999999998,0.1461816305469556
0,60,Debiased-HITL,0.705,1.7137931034482758,0.0,0.033023735810113516
0,60,FE-HITL,0.72,2.9379310344827583,0.19999999999999998,0.1461816305469556
0,61,DL,0.745,2.636604774535809,0.3,0.1781217750257998
0,61,Debiased-HITL,0.745,1.8832891246684351,0.2,0.10180598555211559
0,61,FE-HITL,0.725,1.129973474801061,0.0,0.001805985552115582
0,62,DL,0.755,2.098522167487685,0.35000000000000003,0.19667182662538701
0,62,Debiased-HITL,0.755,1.632183908045977,0.25000000000000006,0.12035603715170282
0,62,FE-HITL,0.74,1.0492610837438425,0.04999999999999999,0.007198142414860671
0,63,DL,0.74,3.264367816091954,0.175,0.10891382868937048
0,63,Debiased-HITL,0.735,1.2241379310344829,0.024999999999999994,0.007598039215686272
0,63,FE-HITL,0.735,1.2241379310344829,0.024999999999999994,0.007598039215686272
0,64,DL,0.77,4.080459770114943,0.4,0.2823013415892673
0,64,Debiased-HITL,0.745,1.0201149425287357,0.1,0.033488132094943245
0,64,FE-HITL,0.74,0.8160919540229885,0.15,0.05848813209494324
0,65,DL,0.775,1.789124668435013,0.29999999999999993,0.16676986584107323
0,65,Debiased-HITL,0.77,1.6949602122015914,0.25,0.14176986584107326
0,65,FE-HITL,0.775,0.8474801061007957,0.04999999999999999,0.02401960784313726
0,66,DL,0.74,1.872210953346856,0.125,0.09887770897832818
0,66,Debiased-HITL,0.74,1.5841784989858012,0.07499999999999996,0.06071981424148604
0,66,FE-HITL,0.74,1.0081135902636917,0.025000000000000022,0.015595975232198155
0,67,DL,0.77,1.3426028921023359,0.125,0.06946594427244582
0,67,Debiased-HITL,0.77,1.3426028921023359,0.125,0.06946594427244582
0,67,FE-HITL,0.775,0.9477196885428254,0.025000000000000022,0.020007739938080485
0,68,DL,0.73,1.5967016491754122,0.2,0.11186790505675955
0,68,Debiased-HITL,0.725,1.4902548725637181,0.15000000000000002,0.08686790505675955
0,68,FE-HITL,0.73,0.9580209895052474,0.04999999999999999,0.0026057791537667796
0,69,DL,0.725,2.693103448275862,0.125,0.11358359133126934
0,69,Debiased-HITL,0.73,0.9793103448275862,0.024999999999999994,0.014047987616099069
0,69,FE-HITL,0.725,1.2241379310344829,0.024999999999999994,0.0008900928792569644
0,70,DL,0.76,1.4689655172413794,0.22500000000000003,0.11456398348813211
0,70,Debiased-HITL,0.76,1.4689655172413794,0.22500000000000003,0.11456398348813211
0,70,FE-HITL,0.765,1.060919540229885,0.12500000000000006,0.02509029927760581
0,71,DL,0.745,1.1751724137931034,0.10000000000000003,0.03555211558307535
0,71,Debiased-HITL,0.745,1.1751724137931034,0.10000000000000003,0.03555211558307535
0,71,FE-HITL,0.745,1.1751724137931034,0.10000000000000003,0.03555211558307535
0,72,DL,0.775,2.0810344827586205,0.17500000000000004,0.14193756449948403
0,72,Debiased-HITL,0.765,1.8362068965517242,0.07500000000000001,0.09193756449948401
0,72,FE-HITL,0.765,1.1017241379310345,0.07500000000000001,0.02253611971104232
0,73,DL,0.75,1.7805642633228842,0.15000000000000002,0.11473168214654283
0,73,Debiased-HITL,0.75,1.7805642633228842,0.15000000000000002,0.11473168214654283
0,73,FE-HITL,0.73,0.8902821316614421,0.14999999999999997,0.06158410732714137
