fold,model,Acc,DI,EOD
4,DL,0.76,1.4449999999999998,0.04029304029304026
4,Debiased-HITL,0.77,1.105,0.0073260073260073555
4,FE-HITL,0.77,1.105,0.0073260073260073555
4,DL,0.705,3.1875,0.003663003663003664
4,Debiased-HITL,0.705,3.1875,0.003663003663003664
4,FE-HITL,0.705,3.1875,0.003663003663003664
4,DL,0.73,1.517857142857143,0.010989010989011005
4,Debiased-HITL,0.73,0.3035714285714286,0.10622710622710624
4,FE-HITL,0.73,0.9107142857142858,0.05860805860805862
4,DL,0.7,0.7083333333333333,0.05128205128205128
4,Debiased-HITL,0.7,0.7083333333333333,0.05128205128205128
4,FE-HITL,0.7,0.7083333333333333,0.05128205128205128
4,DL,0.75,1.4449999999999998,0.0073260073260073555
4,Debiased-HITL,0.765,1.19,0.0073260073260073555
4,FE-HITL,0.765,1.19,0.0073260073260073555
4,DL,0.78,1.517857142857143,0.05860805860805862
4,Debiased-HITL,0.775,1.2901785714285714,0.03663003663003661
4,FE-HITL,0.775,1.2901785714285714,0.03663003663003661
4,DL,0.79,1.6853448275862069,0.1282051282051282
4,Debiased-HITL,0.79,1.0991379310344829,0.06227106227106227
4,FE-HITL,0.785,1.3189655172413794,0.0146520146520146
4,DL,0.7,1.0,0.0
4,Debiased-HITL,0.7,1.0,0.0
4,FE-HITL,0.7,1.0,0.0
4,DL,0.765,1.8798076923076925,0.23076923076923073
4,Debiased-HITL,0.75,0.8173076923076924,0.1501831501831502
4,FE-HITL,0.765,1.389423076923077,0.08791208791208793
4,DL,0.765,1.5299999999999998,0.0146520146520146
4,Debiased-HITL,0.775,1.19,0.032967032967033016
4,FE-HITL,0.77,1.275,0.032967032967033016
4,DL,0.775,1.8352272727272727,0.16117216117216115
4,Debiased-HITL,0.75,0.0,0.41025641025641024
4,FE-HITL,0.775,1.0625,0.02930402930402931
4,DL,0.715,1.0625,0.003663003663003664
4,Debiased-HITL,0.715,1.0625,0.003663003663003664
4,FE-HITL,0.715,1.0625,0.003663003663003664
4,DL,0.77,2.65625,0.23809523809523808
4,Debiased-HITL,0.75,0.0,0.3333333333333333
4,FE-HITL,0.765,1.4609375,0.0
4,DL,0.775,1.3458333333333334,0.1318681318681319
4,Debiased-HITL,0.775,1.0625,0.036630036630036666
4,FE-HITL,0.775,1.0625,0.036630036630036666
4,DL,0.745,1.6420454545454544,0.19047619047619052
4,Debiased-HITL,0.725,0.6761363636363636,0.14285714285714285
4,FE-HITL,0.735,1.0625,0.0
4,DL,0.75,1.625,0.0
4,Debiased-HITL,0.745,0.25,0.2857142857142857
4,FE-HITL,0.74,1.125,0.14285714285714285
4,DL,0.765,1.80625,0.018315018315018305
4,Debiased-HITL,0.76,0.0,0.41025641025641024
4,FE-HITL,0.775,0.9562499999999999,0.12454212454212454
4,DL,0.755,1.7,0.23443223443223443
4,Debiased-HITL,0.725,0.6799999999999999,0.19413919413919417
4,FE-HITL,0.74,1.105,0.0036630036630037055
4,DL,0.785,1.6630434782608694,0.20879120879120883
4,Debiased-HITL,0.765,1.108695652173913,0.02930402930402931
4,FE-HITL,0.78,1.3858695652173911,0.1135531135531136
4,DL,0.765,1.1875,0.04029304029304026
4,Debiased-HITL,0.765,1.1875,0.04029304029304026
4,FE-HITL,0.765,1.1875,0.04029304029304026
4,DL,0.755,1.1875,0.05860805860805862
4,Debiased-HITL,0.755,1.1875,0.05860805860805862
4,FE-HITL,0.755,1.1875,0.05860805860805862
4,DL,0.775,1.5740740740740742,0.08424908424908423
4,Debiased-HITL,0.78,1.1805555555555556,0.010989010989011005
4,FE-HITL,0.775,1.2592592592592593,0.010989010989011005
4,DL,0.79,1.4609375,0.10256410256410253
4,Debiased-HITL,0.785,1.12890625,0.04029304029304026
4,FE-HITL,0.785,1.12890625,0.04029304029304026
4,DL,0.77,1.538793103448276,0.1318681318681319
4,Debiased-HITL,0.79,1.245689655172414,0.1318681318681319
4,FE-HITL,0.785,1.3189655172413794,0.1318681318681319
4,DL,0.76,1.125,0.025641025641025605
4,Debiased-HITL,0.76,1.125,0.025641025641025605
4,FE-HITL,0.76,1.125,0.025641025641025605
4,DL,0.79,1.4166666666666665,0.010989010989011005
4,Debiased-HITL,0.77,1.0625,0.20146520146520147
4,FE-HITL,0.77,1.0625,0.20146520146520147
